frame,frame_path,title,artist
620,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000620.png,== nee,| -- 거구
640,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000640.png,을 고,—_—
640,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000640.png,내니 sa vein 4 ety ide:,느는 이 ie             『
660,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000660.png,| 고고 결,를 F
660,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000660.png,내조,이소 구우 으으 수 호 | 1 Bikeiien.
670,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000670.png,ye,HD cons ithent: (해
680,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000680.png,EE,mE
680,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000680.png,ws,ener conse-..    a
690,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000690.png,Ra,16008
690,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000690.png,BE,"Bh Pei. |, >"
700,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000700.png,bi,Baan
700,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000700.png,년 tact Potpvers.,pe
710,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000710.png,= Dern el Fant ANAC yg,바기 은 개
720,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000720.png,oF,ma
740,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000740.png,| eae oe,we
750,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000750.png,ieee as,es
