frame,frame_path,title,artist
0,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000000.png,PR Seat oct:,wa
0,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000000.png,| fe,rt
10,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000010.png,싸 호,들:
20,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000020.png,| gente:,[ ee ee
30,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000030.png,쳐라 고,따서
40,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000040.png,Mi,bE
50,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000050.png,eee,때다
50,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000050.png,oo,ee
50,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000050.png,er,고; 머브 주
60,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000060.png,mt,해여 네오
60,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000060.png,we,Beco
60,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000060.png,ke,ME
90,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000090.png,mF,bi
100,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000100.png,be,… 그
100,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000100.png,oa,ㆍ 개
100,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000100.png,eB,ao
130,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000130.png,ee,ee
150,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000150.png,"""0",재커
150,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000150.png,ih,ee
180,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000180.png,dE,KE
190,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000190.png,ee,we
200,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000200.png,테오,wei
220,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000220.png,bE,bE
230,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000230.png,ee,bel
240,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000240.png,ee Te 내,Ey
260,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000260.png,뻐스,be
290,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000290.png,6800        a,ey
300,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000300.png,ha,| 들
310,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000310.png,ee,[ee
310,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000310.png,아아아 개,pe
320,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000320.png,ba,pr
340,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000340.png,ba,aa
340,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000340.png,bE,we
360,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000360.png,| . [으나 ere reo.,ea
370,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000370.png,ra,=      -
370,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000370.png,"나 met Borde, |0오0",: ee
390,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000390.png,일. 을,ee ere
400,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000400.png,we,| Nia EE be
400,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000400.png,be,에그
430,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000430.png,Nera From. py,me
440,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000440.png,an”.,. 00000
460,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000460.png,| reeks pint 이 개 에,ee Ty eee
480,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000480.png,|r,“~ is Searle ie Lee 4
490,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000490.png,GE (ees,| scenes cancied miaeniiete a x
500,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000500.png,BE,hE
500,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000500.png,르고,| sts selene
500,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000500.png,oki            ‘Aiba,| 에
510,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000510.png,be,we
520,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000520.png,| “^ Gwent,oy:
520,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000520.png,nF.,BR
530,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000530.png,| sere ope,my
530,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000530.png,을 Seether... a,| rr
540,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000540.png,(Rag hee eDagA.. x,en  7
540,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000540.png,차 Caries,0 ~==-         mal
560,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000560.png,으으 이 BOE,pt
570,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000570.png,이시 이이 시 오이 이이 이이 이이,Bat   u
570,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000570.png,be,"BE,"
580,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000580.png,» 분,(ID 새째때재메새19. +
580,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000580.png,| ㅣ 가,we
590,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000590.png,od,et
600,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000600.png,ee,ht
600,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000600.png,ea,EE ee
610,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000610.png,bi,668 사바.
610,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000610.png,"BR ra ct pcre core,",a 시 |
620,C:\likebox-test\KakaoTalk_20250219_175712675_frames\frame_000620.png,si,울름 으벼그어0사벼이
